date,bpm,location,calendar_event,people,mood,period,zone,sighes,laughs,speech,notes,photo
12/4/2012 13:45,16.46666667,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,0,3,4,,
12/4/2012 13:50,15.66666667,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,0,4,3,,
12/4/2012 13:55,16.26666667,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,0,3,2,,
12/4/2012 14:00,19.06666667,Cafe,Coffee Break,Co-workers,,Afternoon,Elevated,1,1,0,,
12/4/2012 14:05,19.33333333,Work,Computer,Alone,#EF4445-1,Afternoon,Elevated,0,0,0,,
12/4/2012 14:10,19.8,Work,Computer,Alone,,Afternoon,Elevated,3,0,1,,
12/4/2012 14:15,17.6,Work,Computer,Alone,,Afternoon,Elevated,3,0,1,,
12/4/2012 14:20,19.96666667,Work,Computer,Alone,,Afternoon,Elevated,1,0,1,,
12/4/2012 14:25,19.13333333,Work,Computer,Alone,,Afternoon,Elevated,2,0,1,,
12/4/2012 14:30,20.1,Work,Computer,Alone,,Afternoon,Elevated,3,0,1,,
12/4/2012 14:35,17.73333333,Work,Computer,Alone,,Afternoon,Elevated,2,0,0,,
12/4/2012 14:40,18.5,Work,Computer,Alone,#F27273-1,Afternoon,Elevated,2,0,0,,
12/4/2012 14:45,18.53333333,Work,Computer,Alone,,Afternoon,Elevated,1,0,0,,
12/4/2012 14:50,18.9,Work,Computer,Alone,,Afternoon,Elevated,0,0,0,,
12/4/2012 14:55,18,Work,Computer,Alone,,Afternoon,Elevated,1,0,0,,
12/4/2012 15:00,18.8,Work,Meeting,Clients,,Afternoon,Elevated,0,0,1,,
12/4/2012 15:05,19.76666667,Work,Meeting,Clients,,Afternoon,Elevated,1,0,0,,
12/4/2012 15:10,20.53333333,Work,Meeting,Clients,,Afternoon,Elevated,0,0,2,,
12/4/2012 15:15,18.26666667,Work,Meeting,Clients,,Afternoon,Elevated,0,0,2,,
12/4/2012 15:20,15.66666667,Work,Meeting,Clients,,Afternoon,Normal,1,0,5,,
12/4/2012 15:25,14.8,Work,Meeting,Clients,,Afternoon,Normal,0,0,1,,
12/4/2012 15:30,16.43333333,Work,Meeting,Clients,,Afternoon,Normal,1,0,1,,
12/4/2012 15:35,16.86666667,Work,Computer,Alone,,Afternoon,Normal,0,0,0,,
12/4/2012 15:40,16.3,Work,Computer,Alone,,Afternoon,Normal,2,0,1,,
12/4/2012 15:45,16.5,Work,Computer,Alone,,Afternoon,Normal,0,0,1,,
12/4/2012 15:50,17.53333333,Work,Computer,Alone,#F79635-1,Afternoon,Elevated,3,0,1,,
12/4/2012 15:55,17.91666667,Work,Computer,Alone,,Afternoon,Elevated,3,0,1,,
12/4/2012 16:00,14.91666667,Work,Computer,Alone,,Afternoon,Normal,0,0,1,,
12/4/2012 16:05,12.18333333,Work,Computer,Alone,,Afternoon,Normal,1,0,1,,
12/4/2012 16:10,11.83333333,Work,Computer,Alone,,Afternoon,Normal,3,0,1,,
12/4/2012 16:15,13.21666667,Work,Computer,Alone,,Afternoon,Normal,0,0,0,,
12/4/2012 16:20,15.2,Work,Computer,Alone,,Afternoon,Normal,3,0,1,,
12/4/2012 16:25,14.63333333,Work,Computer,Alone,#BAD76C-1,Afternoon,Normal,2,0,1,,
12/4/2012 16:30,12.91666667,Work,Computer,Alone,,Afternoon,Normal,3,0,1,,
12/4/2012 16:35,11.31666667,Car,Driving,Alone,,Afternoon,Normal,1,0,1,,
12/4/2012 16:40,10.25,Car,Driving,Alone,,Afternoon,Normal,1,0,2,,
12/4/2012 16:45,10.38333333,Car,Driving,Alone,,Afternoon,Normal,0,1,2,,
12/4/2012 16:50,10.11666667,Car,Driving,Alone,,Afternoon,Normal,0,0,4,,
12/4/2012 16:55,11.06666667,Gym,Workout,Friends,#F79635-2,Afternoon,Normal,0,0,2,,
12/4/2012 17:00,10.11666667,Gym,Workout,Friends,,Evening,Normal,0,1,3,,
12/4/2012 17:05,9.883333333,Gym,Workout,Friends,,Evening,Normal,0,1,2,,
12/4/2012 17:10,7.416666667,Gym,Workout,Friends,,Evening,Calm,0,2,3,,
12/4/2012 17:15,7.45,Gym,Workout,Friends,,Evening,Calm,0,1,2,,
12/4/2012 17:20,6.683333333,Car,Driving,Alone,,Evening,Calm,0,0,2,,
12/4/2012 17:25,8.55,Car,Driving,Alone,,Evening,Normal,0,1,0,,
12/4/2012 17:30,9.016666667,Car,Driving,Alone,#BAD76C-4,Evening,Normal,0,0,1,,
12/4/2012 17:35,9.783333333,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,2,3,,
12/4/2012 17:40,8.816666667,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,2,1,,
12/4/2012 17:45,9.216666667,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,1,2,,
12/4/2012 17:50,8.916666667,Restaurant,Dinner,Girlfriend,#F79635-3,Evening,Normal,0,1,4,,
12/4/2012 17:55,8.316666667,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,2,2,,
12/4/2012 18:00,8.25,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,2,2,,
12/4/2012 18:05,8.15,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,0,3,,
12/4/2012 18:10,9.216666667,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,2,2,,
12/4/2012 18:15,10.31666667,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,2,3,,
12/4/2012 18:20,11.15,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,0,2,,
12/4/2012 18:25,10.88333333,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,1,4,,
12/4/2012 18:30,8.783333333,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,1,1,,
12/4/2012 18:35,9.883333333,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,1,4,,
12/4/2012 18:40,10.38333333,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,2,3,,
12/4/2012 18:45,12.58333333,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,0,1,,
12/4/2012 18:50,10.75,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,1,2,,
12/4/2012 18:55,9.816666667,Restaurant,Dinner,Girlfriend,,Evening,Normal,0,1,4,,
12/4/2012 19:00,9.183333333,Car,Driving,Alone,#BAD76C-3,Evening,Normal,1,0,0,,
12/4/2012 19:05,9.05,Car,Driving,Alone,,Evening,Normal,0,1,1,,
12/4/2012 19:10,9.05,Car,Driving,Alone,,Evening,Normal,0,1,0,,
12/4/2012 19:15,8.883333333,Car,Driving,Alone,,Evening,Normal,1,1,1,,
12/4/2012 19:20,10.71666667,Car,Driving,Alone,,Evening,Normal,1,0,1,,
12/4/2012 19:25,10.71666667,Home,TV,Alone,,Evening,Normal,1,1,0,,
12/4/2012 19:30,10.91666667,Home,TV,Alone,,Evening,Normal,1,0,1,,
12/4/2012 19:35,9.016666667,Home,TV,Alone,,Evening,Normal,0,1,0,,
12/4/2012 19:40,10.28333333,Home,TV,Alone,,Evening,Normal,0,0,1,,
12/4/2012 19:45,8.216666667,Home,TV,Alone,,Evening,Normal,1,0,0,,
12/4/2012 19:50,8.416666667,Home,TV,Alone,,Evening,Normal,0,0,0,,
12/4/2012 19:55,8.183333333,Home,Computer,Alone,,Evening,Normal,1,1,1,,
12/4/2012 20:00,10.05,Home,Computer,Alone,#FAED23-2,Evening,Normal,1,0,0,,
12/4/2012 20:05,9.45,Home,Computer,Alone,,Evening,Normal,1,1,0,,
12/4/2012 20:10,8.716666667,Home,Computer,Alone,,Evening,Normal,0,1,1,,
12/4/2012 20:15,7.75,Home,Computer,Alone,,Evening,Calm,0,0,0,,
12/4/2012 20:20,10.45,Home,Computer,Alone,,Evening,Normal,1,0,0,,
12/4/2012 20:25,11.35,Home,Computer,Alone,,Evening,Normal,1,1,0,,
12/4/2012 20:30,11.98333333,Home,Computer,Alone,,Evening,Normal,0,1,1,,
12/4/2012 20:35,10.18333333,Home,Computer,Alone,,Evening,Normal,1,1,1,,
12/4/2012 20:40,10.85,Home,Computer,Alone,,Evening,Normal,1,1,1,,
12/4/2012 20:45,10.81666667,Home,Computer,Alone,,Evening,Normal,0,0,1,,
12/4/2012 20:50,12.28333333,Home,Computer,Alone,,Evening,Normal,0,1,1,,
12/4/2012 20:55,11.95,Home,Computer,Alone,,Evening,Normal,1,1,0,,
12/4/2012 21:00,11.95,Home,Computer,Alone,#BAD76C-1,Evening,Normal,1,1,1,,
12/4/2012 21:05,11.71666667,Home,Computer,Alone,,Evening,Normal,0,0,0,,
12/4/2012 21:10,10.35,Home,Computer,Alone,,Evening,Normal,1,0,0,,
12/4/2012 21:15,9.183333333,Home,Computer,Alone,,Evening,Normal,1,1,0,,
12/4/2012 21:20,8.316666667,Home,Computer,Alone,,Evening,Normal,1,0,0,,
12/4/2012 21:25,8.15,Home,Computer,Alone,,Evening,Normal,1,1,1,,
12/4/2012 21:30,9.916666667,Home,Computer,Alone,,Evening,Normal,1,0,1,,
12/4/2012 21:35,10.75,Home,TV,Alone,,Evening,Normal,1,0,1,,
12/4/2012 21:40,11.98333333,Home,TV,Alone,,Evening,Normal,0,1,1,,
12/4/2012 21:45,10.48333333,Home,TV,Alone,,Evening,Normal,0,0,1,,
12/4/2012 21:50,9.216666667,Home,TV,Alone,,Evening,Normal,1,0,1,,
12/4/2012 21:55,7.65,Home,TV,Alone,,Evening,Calm,0,1,1,,
12/4/2012 22:00,9.15,Home,Bed,Alone,,Evening,Normal,1,0,1,,
12/4/2012 22:05,9.683333333,Home,Bed,Alone,#A41D21-3,Evening,Normal,0,1,1,,
12/4/2012 22:10,11.51666667,Home,Bed,Alone,,Evening,Normal,1,1,0,,
12/4/2012 22:15,11.28333333,Home,Bed,Alone,,Evening,Normal,0,1,0,,
12/4/2012 22:20,11.98333333,Home,Bed,Alone,,Evening,Normal,0,0,0,,
12/4/2012 22:25,11.01666667,Home,Bed,Alone,,Evening,Normal,1,1,1,,
12/4/2012 22:30,12.15,Home,Bed,Alone,,Evening,Normal,1,1,0,,
12/4/2012 22:35,10.48333333,Home,Bed,Alone,,Evening,Normal,1,1,0,,
12/4/2012 22:40,10.51666667,Home,Bed,Alone,,Evening,Normal,1,1,0,,
12/4/2012 22:45,9.616666667,Home,Bed,Alone,,Evening,Normal,0,0,1,,
12/4/2012 22:50,11.48333333,Home,Bed,Alone,,Evening,Normal,0,0,0,,
12/4/2012 22:55,10.41666667,Home,Bed,Alone,,Evening,Normal,1,1,0,,
12/4/2012 23:00,8.983333333,Home,Bed,Alone,,Evening,Normal,1,1,1,,
12/4/2012 23:05,7.15,Home,Bed,Alone,,Evening,Calm,1,0,0,,
12/4/2012 23:10,6.75,Home,Bed,Alone,,Evening,Calm,1,1,1,,
12/4/2012 23:15,8.983333333,Home,Bed,Alone,,Evening,Normal,1,1,0,,
12/4/2012 23:20,10.38333333,Home,Bed,Alone,,Evening,Normal,1,0,0,,
12/4/2012 23:25,11.98333333,Home,Bed,Alone,,Evening,Normal,1,1,0,,
12/4/2012 23:30,10.81666667,Home,Bed,Alone,,Evening,Normal,0,0,1,,
12/4/2012 23:35,9.783333333,Home,Bed,Alone,,Evening,Normal,0,1,1,,
12/4/2012 23:40,9.883333333,Home,Bed,Alone,,Evening,Normal,0,1,1,,
12/4/2012 23:45,8.55,Home,Bed,Alone,,Evening,Normal,0,0,0,,
12/4/2012 23:50,8.883333333,Home,Bed,Alone,,Evening,Normal,0,0,0,,
12/4/2012 23:55,8.05,Home,Bed,Alone,,Evening,Normal,1,0,1,,
12/5/2012 9:00,7.142857143,Home,Shower,Alone,#FAED23-1,Morning,Calm,0,0,0,,
12/5/2012 9:05,7.214285714,Home,Shower,Alone,,Morning,Calm,1,0,0,,
12/5/2012 9:10,7.80952381,Home,Shower,Alone,,Morning,Calm,1,0,0,,
12/5/2012 9:15,7.904761905,Home,Breakfast,Alone,#BAD76C-4,Morning,Calm,1,0,0,,
12/5/2012 9:20,8.714285714,Home,Breakfast,Alone,,Morning,Normal,0,0,0,,
12/5/2012 9:25,8.619047619,Home,Breakfast,Alone,,Morning,Normal,1,0,0,,
12/5/2012 9:30,9.142857143,Home,Breakfast,Alone,,Morning,Normal,1,0,2,,
12/5/2012 9:35,9.19047619,Car,Driving,Alone,,Morning,Normal,0,0,0,,
12/5/2012 9:40,8.904761905,Car,Driving,Alone,,Morning,Normal,0,0,1,,
12/5/2012 9:45,8.571428571,Car,Driving,Alone,,Morning,Normal,1,0,2,,
12/5/2012 9:50,10.38095238,Car,Driving,Alone,,Morning,Normal,0,0,3,,
12/5/2012 9:55,12.95238095,Car,Driving,Alone,,Morning,Normal,1,0,0,,
12/5/2012 10:00,14.9047619,Work,Computer,Co-workers,,Morning,Normal,0,0,4,,
12/5/2012 10:05,14.19047619,Work,Computer,Co-workers,,Morning,Normal,1,0,3,,
12/5/2012 10:10,13.76190476,Work,Computer,Co-workers,,Morning,Normal,1,0,3,,
12/5/2012 10:15,13.61904762,Work,Computer,Co-workers,,Morning,Normal,0,0,2,,
12/5/2012 10:20,13.76190476,Work,Meeting,Boss,#8CC63E-2,Morning,Normal,0,0,2,,
12/5/2012 10:25,13.38095238,Work,Meeting,Boss,,Morning,Normal,0,0,2,,
12/5/2012 10:30,14.23809524,Work,Meeting,Boss,,Morning,Normal,0,0,0,,
12/5/2012 10:35,14.04761905,Work,Meeting,Boss,,Morning,Normal,0,0,3,,
12/5/2012 10:40,14.28571429,Work,Meeting,Boss,,Morning,Normal,0,0,2,,
12/5/2012 10:45,15.28571429,Work,Meeting,Boss,,Morning,Normal,1,0,2,,
12/5/2012 10:50,16.38095238,Work,Meeting,Boss,,Morning,Normal,2,0,0,,
12/5/2012 10:55,17.52380952,Work,Meeting,Boss,,Morning,Elevated,0,0,1,,
12/5/2012 11:00,16.9047619,Work,Meeting,Boss,#529742-2,Morning,Normal,0,0,0,,
12/5/2012 11:05,17.61904762,Work,Meeting,Boss,,Morning,Elevated,1,0,1,,
12/5/2012 11:10,17.14285714,Work,Meeting,Boss,,Morning,Normal,3,0,1,,
12/5/2012 11:15,17.38095238,Work,Meeting,Boss,,Morning,Normal,2,0,0,,
12/5/2012 11:20,16.61904762,Work,Meeting,Boss,,Morning,Normal,3,0,1,,
12/5/2012 11:25,17.28571429,Work,Meeting,Boss,,Morning,Normal,3,0,0,,
12/5/2012 11:30,17.42857143,Work,Meeting,Boss,,Morning,Normal,3,0,0,,
12/5/2012 11:35,17.61904762,Work,Meeting,Boss,,Morning,Elevated,3,0,1,,
12/5/2012 11:40,17.19047619,Work,Meeting,Boss,,Morning,Normal,1,0,1,,
12/5/2012 11:45,16.61904762,Work,Meeting,Boss,,Morning,Normal,1,0,1,,
12/5/2012 11:50,15.23809524,Work,Meeting,Boss,,Morning,Normal,2,0,0,,
12/5/2012 11:55,14.47619048,Work,Meeting,Boss,,Morning,Normal,0,2,0,,
12/5/2012 12:00,13.33333333,Work,Lunch,Alone,#F79635-3,Afternoon,Normal,1,4,1,,
12/5/2012 12:05,13.85714286,Work,Lunch,Alone,,Afternoon,Normal,1,4,2,,
12/5/2012 12:10,13.53968254,Work,Lunch,Alone,,Afternoon,Normal,0,4,2,,
12/5/2012 12:15,12.01587302,Work,Lunch,Alone,,Afternoon,Normal,0,4,3,,
12/5/2012 12:20,10.3015873,Work,Lunch,Alone,,Afternoon,Normal,1,5,1,,
12/5/2012 12:25,8.238095238,Work,Lunch,Alone,,Afternoon,Normal,1,5,2,,http://globalassets.starbucks.com/assets/960b83c436e34f5ea4a1e5c7e6d5191e.jpg/
12/5/2012 12:30,7.666666667,Work,Lunch,Alone,,Afternoon,Calm,0,5,0,,
12/5/2012 12:35,8.047619048,Work,Lunch,Alone,,Afternoon,Normal,1,4,4,,
12/5/2012 12:40,8.714285714,Work,Lunch,Alone,,Afternoon,Normal,1,1,2,,
12/5/2012 12:45,8.714285714,Work,Lunch,Alone,,Afternoon,Normal,1,3,4,,
12/5/2012 12:50,8.428571429,Work,Lunch,Alone,,Afternoon,Normal,0,3,0,,
12/5/2012 12:55,8.619047619,Work,Lunch,Alone,,Afternoon,Normal,1,0,1,,
12/5/2012 13:00,11.0952381,Work,Computer,Alone,#FAED23-3,Afternoon,Normal,1,0,0,,
12/5/2012 13:05,12.47619048,Work,Computer,Alone,,Afternoon,Normal,0,0,0,,
12/5/2012 13:10,14.14285714,Work,Computer,Alone,,Afternoon,Normal,2,0,0,,
12/5/2012 13:15,14.47619048,Work,Computer,Alone,,Afternoon,Normal,0,0,0,,
12/5/2012 13:20,14.61904762,Work,Computer,Alone,,Afternoon,Normal,1,0,0,,
12/5/2012 13:25,14.61904762,Work,Computer,Alone,#BAD76C-2,Afternoon,Normal,0,0,0,,
12/5/2012 13:30,14.80952381,Work,Computer,Alone,,Afternoon,Normal,0,0,3,,
12/5/2012 13:35,14.61904762,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,1,3,1,,
12/5/2012 13:40,14.61904762,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,1,4,5,,
12/5/2012 13:45,15.47619048,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,0,3,4,,
12/5/2012 13:50,17.14285714,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,0,4,3,,
12/5/2012 13:55,17.52380952,Cafe,Coffee Break,Co-workers,,Afternoon,Elevated,0,3,2,,
12/5/2012 14:00,17.52380952,Cafe,Coffee Break,Co-workers,,Afternoon,Elevated,1,1,0,,
12/5/2012 14:05,16.57142857,Work,Client Meeting,Clients,#EF4445-1,Afternoon,Normal,0,0,0,,
12/5/2012 14:10,17,Work,Client Meeting,Clients,,Afternoon,Normal,3,0,1,,
12/5/2012 14:15,16.14285714,Work,Client Meeting,Clients,,Afternoon,Normal,3,0,1,,
12/5/2012 14:20,16.80952381,Work,Client Meeting,Clients,,Afternoon,Normal,1,0,1,,
12/5/2012 14:25,16,Work,Client Meeting,Clients,,Afternoon,Normal,2,0,1,,
12/5/2012 14:30,14.95238095,Work,Client Meeting,Clients,,Afternoon,Normal,3,0,1,,
12/5/2012 14:35,13.9047619,Work,Client Meeting,Clients,,Afternoon,Normal,2,0,0,,
12/5/2012 14:40,13.14285714,Work,Client Meeting,Clients,#F27273-1,Afternoon,Normal,2,0,0,,
12/5/2012 14:45,13.52380952,Work,Client Meeting,Clients,,Afternoon,Normal,1,0,0,,
12/5/2012 14:50,12.85714286,Work,Client Meeting,Clients,,Afternoon,Normal,0,0,0,,
12/5/2012 14:55,13.47619048,Work,Client Meeting,Clients,,Afternoon,Normal,1,0,0,,
12/5/2012 15:00,13.52380952,Work,Client Meeting,Clients,,Afternoon,Normal,0,0,1,,
12/5/2012 15:05,14.19047619,Work,Client Meeting,Clients,,Afternoon,Normal,1,0,0,,
12/5/2012 15:10,14.61904762,Work,Client Meeting,Clients,,Afternoon,Normal,0,0,2,,
12/5/2012 15:15,14.71428571,Work,Client Meeting,Clients,,Afternoon,Normal,0,0,2,,
12/5/2012 15:20,13.28571429,Work,Client Meeting,Clients,,Afternoon,Normal,1,0,5,,
12/5/2012 15:25,10.85714286,Work,Client Meeting,Clients,,Afternoon,Normal,0,0,1,,
12/5/2012 15:30,9.19047619,Work,Computer,Alone,,Afternoon,Normal,1,0,1,,
12/5/2012 15:35,9.19047619,Work,Computer,Alone,,Afternoon,Normal,0,0,0,,
12/5/2012 15:40,8.80952381,Work,Computer,Alone,,Afternoon,Normal,2,0,1,,
12/5/2012 15:45,8.857142857,Work,Computer,Alone,,Afternoon,Normal,0,0,1,,
12/5/2012 15:50,8.428571429,Work,Computer,Alone,#F79635-1,Afternoon,Normal,3,0,1,,
12/5/2012 15:55,9.047619048,Work,Computer,Alone,,Afternoon,Normal,3,0,1,,
12/5/2012 16:00,9.142857143,Work,Computer,Alone,,Afternoon,Normal,0,0,1,,
12/5/2012 16:05,8.761904762,Work,Computer,Alone,,Afternoon,Normal,1,0,1,,
12/5/2012 16:10,8.285714286,Work,Computer,Alone,,Afternoon,Normal,3,0,1,,
12/5/2012 16:15,9.428571429,Work,Computer,Alone,,Afternoon,Normal,0,0,0,,
12/5/2012 16:20,11.61904762,Work,Computer,Alone,,Afternoon,Normal,3,0,1,,
12/5/2012 16:25,13.71428571,Work,Computer,Alone,#BAD76C-1,Afternoon,Normal,2,0,1,,
12/5/2012 16:30,13.57142857,Work,Computer,Alone,,Afternoon,Normal,3,0,1,,
12/5/2012 16:35,13.9047619,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,1,0,1,,
12/5/2012 16:40,14.38095238,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,1,0,2,,
12/5/2012 16:45,14.71428571,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,0,1,2,,
12/5/2012 16:50,14.19047619,Cafe,Coffee Break,Co-workers,,Afternoon,Normal,0,0,4,,
12/5/2012 16:55,14.0952381,Cafe,Coffee Break,Co-workers,#F79635-2,Afternoon,Normal,0,0,2,,
12/5/2012 17:00,14.33333333,Work,Computer,Co-workers,,Evening,Normal,0,1,3,,
12/5/2012 17:05,14.23809524,Work,Computer,Co-workers,,Evening,Normal,0,1,2,,
12/5/2012 17:10,14.23809524,Work,Computer,Co-workers,,Evening,Normal,0,2,3,,
12/5/2012 17:15,13.85714286,Work,Computer,Co-workers,,Evening,Normal,0,1,2,,
12/5/2012 17:20,14.38095238,Work,Computer,Co-workers,,Evening,Normal,0,0,2,,
12/5/2012 17:25,14.47619048,Work,Computer,Co-workers,,Evening,Normal,0,1,0,,
12/5/2012 17:30,14.23809524,Work,Computer,Co-workers,#BAD76C-4,Evening,Normal,0,0,1,,
12/5/2012 17:35,15.38095238,Work,Computer,Co-workers,,Evening,Normal,0,2,3,,
12/5/2012 17:40,16.28571429,Work,Computer,Co-workers,,Evening,Normal,0,2,1,,
12/5/2012 17:45,17.23809524,Work,Computer,Co-workers,,Evening,Normal,0,1,2,,
12/5/2012 17:50,16.38095238,Work,Computer,Co-workers,#F79635-3,Evening,Normal,0,1,4,,
12/5/2012 17:55,15.66666667,Gym,Workout,Alone,,Evening,Normal,0,2,2,,
12/5/2012 18:00,16.76190476,Gym,Workout,Alone,,Evening,Normal,0,2,2,,
